,paper,authors,title,abstract,cathegory
0,2508.06332,"['Müller, Vinícius B.', 'Metz, Fernando L.']",Epidemic threshold and localization of the SIS model on directed complex networks,"We study the susceptible-infected-susceptible (SIS) model on directed complex networks within the quenched mean-field approximation. Combining results from random matrix theory with an analytic approach to the distribution of fixed-point infection probabilities, we derive the phase diagram and show that the model exhibits a nonequilibrium phase transition between the absorbing and endemic phases for $c \geq \lambda^{-1}$, where $c$ is the mean degree and $\lambda$ the average infection rate. Interestingly, the critical line is independent of the degree distribution but is highly sensitive to the form of the infection-rate distribution. We further show that the inverse participation ratio of infection probabilities diverges near the epidemic threshold, indicating that the disease may become localized on a small fraction of nodes. These results provide a systematic characterization of how network heterogeneities shape epidemic spreading on directed contact networks within the quenched mean-field approximation.",Physics and Society
1,2508.06369,"['Mandal, Sougata', 'Ghosh, Sukhendu']","Conservation laws, a new class of group invariant solutions, and its applications for the Whitham Broer Kaup model","The Whitham Broer Kaup (WBK) equations provide a fundamental framework for modeling shallow water wave dynamics, effectively capturing both nonlinear and dispersive effects. In this study, we construct a new class of analytical and numerical solutions for the WBK system using Lie symmetry analysis. By determining an optimal system of one-dimensional subalgebras, we obtain symmetry reductions that lead to new kinds of exact wave solutions expressed in hyperbolic, trigonometric, and rational forms. The influence of key physical parameters on wave structure is systematically explored, revealing their role in shaping the velocity and surface profiles of the waves. An important aspect of this work is the application of the WBK model to tsunami wave propagation, demonstrating its capability to simulate the generation, evolution, and spatial spreading of long surface waves in coastal regions. This highlights the practical relevance of the WBK equations in geophysical and oceanographic contexts. Additionally, employing the direct multiplier method, we derive a complete set of local conservation laws for the governing WBK model, ensuring the preservation of key physical properties. These findings enhance the understanding of shallow water wave behavior, unify existing research, and provide a framework for further exploration.",Fluid Dynamics
2,2508.06371,"['Xie, Yining', 'Moynihan, Eoin', 'Alexe, Marin', 'Piper, Louis', 'Sanchez, Ana', 'Beanland, Richard']",Template masks for 4D-STEM,"We present a new analysis method for atomic resolution four-dimensional scanning transmission electron microscopy (4D-STEM, in which a diffraction pattern is collected at each point of a raster scan of a focused electron beam across the specimen). In 4D-STEM, each measured intensity has a dual character, forming a pixel in a diffraction pattern and, equally, forming a pixel in a STEM image. Applying a mask to the data to obtain a ""virtual"" bright field or dark field image is widely used and understood. However, there is a complementary procedure, in which an image (template) is applied to the data to obtain a mask. This mask shows the correlation between the data and the template and, when applied to atomic resolution 4D-STEM data produces an image optimised for the template. This allows, for example, imaging of specific atom columns and is a significant improvement over user-defined masks such as virtual annular bright field imaging. We demonstrate the capability of the approach, separately imaging Li and O atom columns in LiFePO4 and O, Pb and Ti across a domain wall in PbTiO3.These template masks provide a computationally straightforward and general method to probe 4D-STEM data. They are particularly effective for specimens of moderate thickness where multiple scattering produces strong and specific correlations in diffraction patterns.",Instrumentation and Detectors
3,2508.06413,"['Vanpeene, Victor', 'Stamati, Olga', 'Cadiou, Francois', 'Jacquet, Quentin', 'Villanova, Julie', 'Lyonnard, Sandrine']",4D operando X-ray nano-holo-tomography reveals multiscale chemomechanics in Silicon-Graphite anode,"Linking electrode microstructure to electrochemical performance is essential for optimizing Li-ion batteries. However, this requires mechanistic 4D observations at ultimate spatio-temporal scales, which remains elusive. Here we demonstrate the use of operando synchrotron X-ray nano-holo-tomography combined with Digital Volume Correlation to track chemomechanical dynamics at both particle (local) and electrode (averaged) scales. Quantitative scale-bridging image analysis is applied to a high-capacity silicon-graphite anode during its formation cycle. Our findings reveal that local diffusion properties, graphite particle morphology and position in the electrode, distance to silicon clusters, surface contact with electrolyte and mechanical deformations, all have a direct impact on the local electrochemical activity and irreversibility - but these parameters are not equally important. Particularly, we identify fast diffusion channels that play a key role and counterbalance intrinsic depth-dependent reaction heterogeneities due to ionic/electronic diffusion limitations. The various structural factors that determine Gr-Si battery performance beyond ensemble properties are classified using a scale of influence, providing a practical framework for the optimization of materials and electrode manufacturing.",Applied Physics
4,2508.06417,"['Alaaeldin, Heba A.', 'Hamada, Ahmed A.', 'El-Naggar, Mohamed A.', 'El-Ashtoukhy, Elsayed Z.', 'Taha, Mahmoud M.']",Numerical Investigation of Natural Convection Dynamics in Open-Ended Vertical Channels with Different Aspect Ratios,"Understanding the thermal and flow fields associated with natural convection is of great importance in the design and manufacture of passive cooling systems, solar collectors, and ventilation systems. The aim of this study is to numerically investigate the naturally driven flow behaviour in open-ended vertical channels. Specifically, laminar airflow (Rayleigh number of 5*10^5) is naturally driven through a vertical channel that is asymmetrically heated with a uniform heat flux of (2043 w/m^2) . The compressible OpenFOAM solver (buoyantPimpleFoam) is employed, and open boundary conditions are applied at both the inlet and outlet to account for the effect of ventilation. The results exhibit good agreement with a numerical benchmark. Furthermore, a study of the airflow through two vertical channels, with two different aspect ratios of 5 and 31.25, is conducted. The results indicate that, in both cases of aspect ratios, the flow accelerates near the heated wall and decelerates near the adiabatic wall, forming a near-constant velocity region around the channel centreline. Increasing the aspect ratio diminishes the reverse flow. However, the flow pattern near the heated wall remains largely unaffected by aspect ratio changes. Additionally, the fluid behaviour downstream significantly affects velocity measurements at the inlet.",Fluid Dynamics
5,2508.06419,"['Andreichev, Valerii', 'Käser, Silvan', 'Bocanegra, Erica L.', 'Salik, Madeeha', 'Johnson, Mark A.', 'Meuwly, Markus']","Dynamics of Protonated Oxalate from Machine-Learned Simulations and Experiment: Infrared Signatures, Proton Transfer Dynamics and Tunneling Splittings","The infrared spectroscopy and proton transfer dynamics together with the associated tunneling splittings for H/D-transfer in oxalate are investigated using a machine learning-based potential energy surface (PES) of CCSD(T) quality, calibrated against the results of new spectroscopic measurements. Second order vibrational perturbation calculations (VPT2) very successfully describe both the framework and H-transfer modes compared with the experiments. In particular, a new low-intensity signature at 1666 cm$^{-1}$ was correctly predicted from the VPT2 calculations. An unstructured band centered at 2940 cm$^{-1}$ superimposed on a broad background extending from 2600 to 3200 cm$^{-1}$ is assigned to the H-transfer motion. The broad background involves a multitude of combination bands but a major role is played by the COH-bend. For the deuterated species, VPT2 and molecular dynamics simulations provide equally convincing assignments, in particular for the framework modes. Finally, based on the new PES the tunneling splitting for H-transfer is predicted as $\Delta_{\rm H} = 35.0$ cm$^{-1}$ from ring polymer instanton calculations using higher-order corrections. This provides an experimentally accessible benchmark to validate the computations, in particular the quality of the machine-learned PES.",Chemical Physics
6,2508.06427,"['Sun, Yong']",Ergodicity and Measurements In Static and Dynamic Light Scattering,"Static Light Scattering (SLS) and Dynamic Light Scattering (DLS) are very important techniques to study the characteristics of nano-particles in dispersion. The data of SLS is determined by the optical characteristic and the measured values of DLS are determined by optical and hydrodynamic characteristics of different size nano-particles. In general, the nano-particles investigated are considered to be cross-linked soft particles or hyper-branched chains with a three dimensional network structure. Therefore the density of these nano-particles is not homogeneous and the different parts have different optical characteristics. However our experiments reveal that the long time average data of scattered intensity can be perfectly described by homogeneous spherical model. Based on the size distribution obtained using the SLS or TEM technique and the relation between the static and hydrodynamic radii, all the calculated and measured values of $g^{\left( 2\right) }\left( \tau \right) $ investigated are also consistent very well. Since the long time average scattered intensity of non-homogeneous spherical nano-particles can be perfectly described by homogeneous spherical model, the phenomenon of ergodicity happen in our experiments. The results also reveal that the root mean-square radius of gyration $\left\langle R_{g}^{2}\right\rangle ^{1/2}$ obtained using the Zimm plot, Berry plot or Guinier plot is an optical weight size. Due to the different optical average methods of the root mean-square radius of gyration $\left\langle R_{g}^{2}\right\rangle ^{1/2}$ and apparent hydrodynamic radius $R_{app,h}$ and the complex hydrodynamic structures, the dimensionless shape parameter $\rho =\left\langle R_{g}^{2}\right\rangle ^{1/2}/R_{app,h}$ has lost the physical significance to judge the shapes of nano-particles.",Chemical Physics
7,2508.06462,"['Glenn, G. D.', 'Treffert, F.', 'Ahmed, H.', 'Astbury, S.', 'Borghesi, M.', 'Bourgeois, N.', 'Curry, C. B.', 'Dann, S. J. D.', 'DiIorio, S.', 'Dover, N. P.', 'Dzelzainis, T.', 'Ettlinger, O.', 'Gauthier, M.', 'Giuffrida, L.', 'Gray, R. J.', 'Green, J. S.', 'Hicks, G. S.', 'Hyland, C.', 'Istokskaia, V.', 'King, M.', 'Loughran, B.', 'Margarone, D.', 'McCusker, O.', 'McKenna, P.', 'Najmudin, Z.', 'Parisuaña, C.', 'Parsons, P.', 'Spindloe, C.', 'Streeter, M. J. V.', 'Symes, D. R.', 'Thomas, A. G. R.', 'Xu, N.', 'Glenzer, S. H.', 'Palmer, C. A. J.']",Characterization and automated optimization of laser-driven proton beams from converging liquid sheet jet targets,"Compact, stable, and versatile laser-driven ion sources hold great promise for applications ranging from medicine to materials science and fundamental physics. While single-shot sources have demonstrated favorable beam properties, including the peak fluxes necessary for several applications, high repetition rate operation will be necessary to generate and sustain the high average flux needed for many of the most exciting applications of laser-driven ion sources. Further, to navigate through the high-dimensional space of laser and target parameters towards experimental optima, it is essential to develop ion acceleration platforms compatible with machine learning learning techniques and capable of autonomous real-time optimization. Here we present a multi-Hz ion acceleration platform employing a liquid sheet jet target. We characterize the laser-plasma interaction and the laser-driven proton beam across a variety of key parameters governing the interaction using an extensive suite of online diagnostics. We also demonstrate real-time, closed-loop optimization of the ion beam maximum energy by tuning the laser wavefront using a Bayesian optimization scheme. This approach increased the maximum proton energy by 11% compared to a manually-optimized wavefront by enhancing the energy concentration within the laser focal spot, demonstrating the potential for closed-loop optimization schemes to tune future ion accelerators for robust high repetition rate operation.",Plasma Physics
8,2508.06477,"['Arola-Fernández, Lluís']",Intuition emerges in Maximum Caliber models at criticality,"Whether large predictive models merely parrot their training data or produce genuine insight lacks a physical explanation. This work reports a primitive form of intuition that emerges as a metastable phase of learning that critically balances next-token prediction against future path-entropy. The intuition mechanism is discovered via mind-tuning, the minimal principle that imposes Maximum Caliber in predictive models with a control temperature-like parameter $\lambda$. Training on random walks in deterministic mazes reveals a rich phase diagram: imitation (low $\lambda$), rule-breaking hallucination (high $\lambda$), and a fragile in-between window exhibiting strong protocol-dependence (hysteresis) and multistability, where models spontaneously discover novel goal-directed strategies. These results are captured by an effective low-dimensional theory and frame intuition as an emergent property at the critical balance between memorizing what is and wondering what could be.",Physics and Society
9,2508.06498,"['Iyer, Vasant', 'Shah, Nishal', 'Johnson, A. T. Charlie', 'Issadore, David A.', 'Aflatouni, Firooz']",High-density and scalable graphene Hall sensor arrays through monolithic CMOS integration,"Electronic devices made from two-dimensional materials (2DMs) significantly outperform their silicon counterparts; however, silicon CMOS technology remains commercially predominant as it offers the capability to operate dense arrays of devices in a scalable fashion. In particular, graphene Hall sensors (GHSs) offer great improvements in magnetic field sensitivity and resolution compared to silicon Hall-effect sensors, making them extremely appealing for magnetic field imaging and biosensing. At present, GHS arrays have limited scalability compared to silicon CMOS since they require planar routing for biasing and multiplexing. In this work, we explore strategies to realize high-density graphene Hall sensor arrays by vertically connecting GHSs with silicon CMOS biasing and multiplexing circuitry, allowing the routing and circuitry to scale with the array. We investigate the importance of design choices in the chip layout and post-fabrication process in maximizing the reliability of graphene transfer onto mm-scale CMOS dies. Our experimental results validate the success of the integration process by showing for the first time that GHSs can be monolithically integrated with CMOS with high yield to form sensor arrays. We expect that these results will lead to further improvements in magnetic sensing technology and broader advancements in large-scale heterogeneous 2DM-CMOS systems.",Instrumentation and Detectors
