,paper,authors,title,abstract,cathegory
0,2509.15314,"['Miranda-Quintana, Ramón Alain', 'Lokhande, Rugwed', 'de Moura, Carlos E. V.', 'Zsigmond, Krisztina', 'Ayers, Paul W.']",A new family of seniority-restricted coupled cluster methods,"We introduce a novel class of coupled cluster (CC) methods that leverage the seniority concept to enhance efficiency and accuracy in electronic structure calculations. While existing approaches, such as the pair coupled cluster doubles (pCCD) method, are limited to seniority-zero ({\Omega} = 0) wavefunctions,1 we propose a more flexible framework: seniority-restricted coupled cluster (sr-CC). This new methodology selectively constrains the seniority sectors accessible through excitation operators in the cluster expansion, enabling a more systematic exploration of electron correlation effects. By balancing computational cost and accuracy, sr-CC provides a promising pathway for advancing electronic structure theory, particularly in strongly correlated systems.",Chemical Physics
1,2509.15329,"['Hoffmann, A. C. D.', 'Giroud-Garampon, P.', 'Ricci, P.']",The hot-electron closure of the moment-based gyrokinetic plasma model,"We derive the hot-electron-limit (HEL) closure for the moment hierarchy used to solve the gyrokinetic equations, known as the gyromoment (GM) approach. By expanding the gyroaveraging kernels in the small temperature ratio limit, {\tau} = Ti/Te << 1, and retaining only the essential O({\tau}) terms, we obtain a closed system for the density, parallel velocity, and parallel and perpendicular temperatures. In a Z-pinch geometry, the GM system with the HEL closure is analytically equivalent to the one developed by Ivanov et al. (2022). Numerical benchmarks confirm the closure's accuracy, reproducing established linear growth rates, nonlinear heat transport, and low collisionality dynamics. An extension to the tokamak-relevant s-{\alpha} geometry and a comparison with gyrokinetic simulations reveal the capabilities and limitations of the HEL-closed GM model: while transport levels and temporal dynamics are qualitatively preserved even at {\tau}=1, the absence of higher-order kinetic moments prevents an accurate prediction of the Dimits shift and of transport suppression.",Plasma Physics
2,2509.15364,"['Beckwith, R', 'Bruce, R', 'Koshelev, S']",Advancing 1D thermo-hydraulic tools for large cryogenic facilities,"The Cryogenic Division at Fermilab develops large-scale cryogenic systems for particle accelerators and superconducting magnet test facilities. To support design and diagnostics, a Python-based code was created to calculate pressure drops in components such as valves and pipes. This paper presents recent enhancements to the code, including new heat transfer functions that improve the accuracy of thermal and hydraulic predictions. The first application models pressure and temperature changes in Proton Improvement Plant PIP-II relief pipes, aiding pipe sizing and protecting relief valves. The second example analyses heat load evolution in a pipe carrying sub-atmospheric helium, helping interpret temperature sensor data and understand gas return behavior to cold compressors. These improvements significantly expand the tool's capabilities, offering a practical resource for designing and troubleshooting cryogenic systems under dynamic thermal and flow conditions.",Accelerator Physics
3,2509.15367,"['Bruce, R', 'Nikolic, V', 'Tope, T', 'Oshinowo, O', 'Velev, G', 'Vo, T', 'Maurisak, M']",Fabrication of the HFVMTF Double-Bath Cryostat,"The High Field Vertical Magnet Test Facility (HFVMTF) at Fermilab is designed to test superconducting magnets up to 20 tons and 1.3 meters in diameter. Central to the facility is a double-bath superfluid helium cryostat reaching 1.8 K at 1.2 bar. Integrated with a 15 T superconducting dipole from LBNL, HFVMTF supports HTS cable testing for fusion applications. This paper presents the design and fabrication of the cryostat, with a focus on two complex components: the 2 K heat exchanger and the lambda plate. The heat exchanger thermally links sub-atmospheric and pressurized helium baths. The 1.4-meter lambda plate provides thermal isolation and structural support for over 20 tons under 1.3 bar pressure differential. Finite Element Analysis validated the vessel's integrity under maximum load conditions.",Accelerator Physics
4,2509.15369,"['Patel, Pratik', 'Dhuley, Ram', 'Faraj, Ahmed', 'Martinez, Alexander', 'Patel, Vrushank', 'Soyars, William', 'Yoon, Sungwoon']",Fermilab PIP-II CDS and CM Cryogenic Controls System,"Details on Final design for Cryogenic Electrical & Controls System for Fermilab' s next-gen particle accelerator PIP-II. Electrical Controls System includes instrumentation and controls of Cryogenics Distribution System and Cryomodules. Design includes Siemens PCS7 Controls System with 26 Remote IO Rittal Cabinets and 48 Relay Racks for Temperature Readouts, Valve Positioners, Level, Heater Controls etc. Electrical Drawings and Design have been completed with focus now on fabrication of the 26 Rittal Cabinets and 48 Relay Racks. All materials have been procured. EPICS will be used as a SCADA system communicating to S7 Controllers via OPC UA.",Accelerator Physics
5,2509.15377,"['Neep, T.', 'Nikolopoulos, K.', 'Slater, M.']",Accelerating Garfield++ with CUDA,"Garfield++ is extensively used within the gaseous detector community for comprehensive detector simulations, supporting the full experimental life cycle from design to operation and calibration. The emergence of micro-pattern gaseous detectors has necessitated computationally intensive microscopic avalanche simulations. The acceleration of one of Garfield++'s most demanding algorithms, AvalancheMicroscopic, by porting it to graphics processing units using NVIDIA's CUDA framework is described. The modifications are integrated into the Garfield++ codebase and are accessible to end users with only minor adjustments to their existing code. Benchmark results demonstrate substantial speed-up, especially for high-gain avalanches involving thousands of electrons, thereby enabling more efficient and detailed detector simulations.",Instrumentation and Detectors
6,2509.15382,"['Winnik, Julianna', 'Suski, Damian', 'Heto, Matyáš', 'Lenarnik, Małgorzata', 'Ziemczonok, Michał', 'Trusiak, Maciej', 'Zdańkowski, Piotr']",OSI-flex: Optimization-Based Shearing Interferometry for Joint Phase and Shear Estimation Using a Flexible Open-Source Framework,"Shearing interferometry is a common-path quantitative phase imaging technique in which an object beam interferes with a laterally shifted replica of itself, providing high temporal stability, reduced sensitivity to environmental noise, compact design, and compatibility with partially coherent illumination that suppresses coherence-related artifacts. Its principal limitation, however, is that it yields only sheared phase-difference measurements rather than the absolute phase, thereby requiring additional reconstruction step. In this work, we introduce OSI-flex, a flexible, open-source computational framework for quantitative phase reconstruction from sheared phase-difference measurements. The method leverages modern machine learning tools, namely automatic differentiation and the advanced ADAM (Adaptive Moment Estimation) optimizer. The method simultaneously estimates the phase and shear values, enabling it to adapt to experimental conditions where the shear cannot be precisely determined. Because defining shear value is inherently difficult in most systems, yet crucial for effective phase reconstruction, this joint optimization leads to robust and reliable phase retrieval. OSI-flex is highly versatile, supporting arbitrary numbers, magnitudes, and orientations of shear vectors. While optimal reconstruction is achieved with two orthogonal shears, the inclusion of regularization - specifically total variation minimization and sign constraint - enables OSI-flex to remain effective with nonorthogonal or even single-shear measurements. Moreover, OSI-flex accommodates a wide range of shear magnitudes, from subpixel (differential configuration) to several dozen pixels (semi-total shear configuration). Validation with simulations and experimental data confirms quantitative accuracy on calibrated phase objects and demonstrates robustness with 3D-printed cell phantom and follicular thyroid cells.",Optics
7,2509.15383,"['Subedi, J.', 'Tope, T.', 'Hansen, B.', 'White, M.', 'Tillman, J.', 'Patel, V.', 'Cyko, W.', 'Dong, J.']",Integration and commissioning plan of Full Flow Purifier at Muon Campus,"The Full Flow Purifier for Fermilab's Muon Campus uses a charcoal bed surrounded by a liquid nitrogen jacket to purify up to 240 g/s of helium gas. Fabrication by Ability Engineering Technology Inc. has been completed and the purifier delivered to Fermilab. It is the largest purifier to be used at Fermilab based on both capacity and size. A previous paper discussed the design of purifier for various operational conditions and horizontal shipping. The purifier is designed to withstand 5g force in vertical and 2g force in lateral and longitudinal directions. Transportation experience from vendor to Fermilab and within site is discussed. Integration of the purifier involved design and fabrication of a liquid nitrogen transfer line, regeneration system, and helium piping to connect it to Muon Campus cryogenic system. It also involved establishing electrical, instrumentation and controls connections to the system. Integration of the purifier is discussed in detail. The purifier is to be commissioned using up to 4 MYCOM helium compressors to supply helium and liquid nitrogen supplied by a 60,000-liter tank. Actual effectiveness of the 3-stream heat exchanger is to be estimated based on measured temperatures and flow rate. Impurity levels will be monitored at inlet and outlet of the purifier. Theoretical adsorption capacity of the purifier is calculated based on the measured temperatures and flowrates and is compared to actual adsorption capacity over time.",Accelerator Physics
8,2509.15387,"['Huckemann, Stephan F.']",Der Stern von Bethlehem -- Einige Theorien und Hintergruende: Von der altorientalischen Astrologie ueber Kepler zu Newton,"Many have have taken in hand to write a treatise on the Star of Bethlehem, particularly on Kepler's explanation as a stellar birth, triggered by Mars joining a great conjunction (a meeting of Jupiter and Saturn), as he observed it in October 1604. It is the aim of my short treatise to introduce, at a hopefully well digestible level, into underlying antiquity's concepts of physics, astrology, and astronomy around the time of Christ's birth and to demonstrate their essential developments up to the early modern period. In the latter, Kepler played a significant role. His contributions enabled him to calculate back to the year 7 BC with astonishing precision, locating a triple great conjunction in Pisces, which was then complemented by Mars. This is confirmed by both Babylonian tradition and modern astronomy. The following background provided may be specifically helpful for a more theologically oriented audience, also because the controversy surrounding ""geocentric"" and ""heliocentric"" world systems (Copernicus) is touched upon. And, because the overall context raises questions for theology, with which the epilogue concludes.",History and Philosophy of Physics
9,2509.15388,"['Liu, Shengli', 'Eddy, Nathan', 'Semenov, A.', 'Fellenz, Brian']",Development of BPM electronics for PIP-II at Fermilab,"This paper presents the uTCA4.0-based BPM electronics for PIP-II, featuring four 250 MSPS ADCs and a Xilinx UltraScale+ MPSoC FPGA with 10 GbE uplink. Design elements include signal conditioning, clock, and thermal management. The FPGA performs signal processing, time tagging, digital down-conversion, and phase drift compensation. Position and phase resolution, and thermal stability - is validated through dedicated testing.",Accelerator Physics
