,paper,authors,title,abstract,cathegory
0,2506.20371,"['Lausch, K. Nikolas', 'Haouari, Redouan El', 'Trzewik, Daniel', 'Behler, Jörg']",Impact of the damping function in dispersion-corrected density functional theory on the properties of liquid water,"Accounting for dispersion interactions is essential in approximate density functional theory (DFT). Often, a correction potential based on the London formula is added, which is damped at short distances to avoid divergence and double counting of interactions treated locally by the exchange-correlation functional. Most commonly, two forms of damping, known as zero- and Becke-Johnson (BJ)-damping, are employed and it is generally assumed that the choice has only a minor impact on performance even though the resulting correction potentials differ quite dramatically. Recent studies have cast doubt on this assumption pointing to a significant effect of damping for liquid water, but the underlying reasons have not yet been investigated. Here, we analyze this effect in detail for the widely used Tkatchenko-Scheffler and DFT-D3 dispersion models. We demonstrate that, regardless of the dispersion model, both types of damping perform equally well for interaction energies of water clusters, but find that for the two investigated functionals zero-damping outperforms BJ-damping in dynamic simulations of liquid water. Compared to BJ-damping, zero-damping provides, e.g., an improved structural description, self-diffusion, and density of liquid water. This can be explained by the repulsive gradient at small distances resulting from damping to zero that artificially destabilizes water's tetrahedral hydrogen-bonding network. Therefore, zero-damping can compensate for deficiencies often observed for generalized gradient functionals, which is not possible for strictly attractive BJ-damping. Consequently, the improvement that can be achieved by applying a dispersion correction strongly depends on the employed damping function suggesting that the role of damping in dispersion-corrected DFT needs to be generally reevaluated.",Chemical Physics
1,2506.20375,"['Morelli, Andre Borgato', 'Cunha, André Luiz']",Evoluindo resili\^encia em rotas de \^onibus: Proposta de um m\'etodo para a maximiza\c{c}\~ao de acessibilidade em cen\'arios de incerteza por meio de algoritmo gen\'etico,"Resilience has raised interest in transport planning as rare phenomena, such as fuel supply crises, have recently shown their potential to destabilize transport systems. However, the proposed methods for planning resilience in transit systems fail to consider the impact that bus frequency has on user accessibility. To address this gap, this paper proposes a bus allocation method aimed at maximizing accessibility in impact scenarios - where some bus routes have their frequency reduced - making use of a genetic algorithm. The method is applied in the city of S\~ao Paulo and the results show that evolving the system foreseeing moderate impacts not only contributes to reducing the negative effects of lower route frequency, but also improves its efficiency in normal conditions, showing the importance of the contribution of this research to the planning of efficient systems.",Physics and Society
2,2506.20387,"['Lester, Daniel']",Mixing of Gaussian Solute Plumes,"We consider the general problem of mixing of Gaussian solute plumes arising across a range of different flows ranging from two-dimensional (2D) to three-dimensional (3D), steady to unsteady, regular to chaotic, Stokes to turbulent. We consider a a range of infinitesimal injection protocols (point or line sources, continuous or pulsed) which generate solute points, lines and sheets and their finite-sized counterparts (blobs, tubes and slabs). We show that evolution of this broad family of Gaussian plumes is solely governed by the initial solute distribution, the dispersion tensor and the Lagrangian history of the deformation gradient tensor. Significant simplifications arise when the deformation tensor is placed in the Protean (Lester et al, JFM, 2018) coordinate frame (which aligns with the maximum and minimum fluid stretching directions and renders the deformation tensor upper triangular), allowing evolution of the Gaussian covariance matrix to be expressed in physically relevant terms such as Lyapunov exponents, longitudinal and transverse shear rates. We couch these results in terms of evolution of the maximum concentration and scalar entropy of Gaussian plume for a range of flows and injection protocols. These results provide significant insights into the processes that govern mixing in a broad range of flows and provide the building blocks of efficient numerical methods using e.g. radial basis functions for solute transport and mixing in arbitrary flows.",Fluid Dynamics
3,2506.20389,"['Gao, Lingli', 'Mao, Weijian', 'Xu, Qianru', 'Ouyang, Wei', 'Yang, Shaokang', 'Cheng, Shijun']",Inhomogeneous plane waves in attenuative anisotropic porous media,"We investigate the propagation of inhomogeneous plane waves in poro-viscoelastic media, explicitly incorporating both velocity and attenuation anisotropy. Starting from classical Biot theory, we present a fractional differential equation describing wave propagation in attenuative anisotropic porous media that accommodates arbitrary anisotropy in both velocity and attenuation. Then, instead of relying on the traditional complex wave vector approach, we derive new Christoffel and energy balance equations for general inhomogeneous waves by employing an alternative formulation based on the complex slowness vector. The phase velocities and complex slownesses of inhomogeneous fast and slow quasi-compressional (qP1 and qP2) and quasi-shear (qS1 and qS2) waves are determined by solving an eighth-degree algebraic equation. By invoking the derived energy balance equation along with the computed complex slowness, we present explicit and concise expressions for energy velocities. Additionally, we analyze dissipation factors defined by two alternative measures: the ratio of average dissipated energy density to either average strain energy density or average stored energy density. We clarify and discuss the implications of these definitional differences in the context of general poro-viscoelastic anisotropic media. Finally, our expressions are degenerated to give their counterparts of the homogeneous waves as a special case, and the reduced forms are identical to those presented by the existing poro-viscoelastic theory. Several examples are provided to illustrate the propagation characteristics of inhomogeneous plane waves in unbounded attenuative vertical transversely isotropic porous media.",Geophysics
4,2506.20438,"['Toraman, Gözdenur', 'Fauconnier, Dieter', 'Verstraelen, Toon']",STable AutoCorrelation Integral Estimator (STACIE): Robust and accurate transport properties from molecular dynamics simulations,"STACIE (STable AutoCorrelation Integral Estimator) is a novel algorithm and Python package that delivers robust, uncertainty-aware estimates of autocorrelation integrals from time-correlated data. While its primary application is deriving transport properties from equilibrium molecular dynamics simulations, STACIE is equally applicable to time-correlated data in other scientific fields. A key feature of STACIE is its ability to provide robust and accurate estimates without requiring manual adjustment of hyperparameters. Additionally, one can follow a simple protocol to prepare sufficient simulation data to achieve a desired relative error of the transport property. We demonstrate its application by estimating the ionic electrical conductivity of a NaCl-water electrolyte solution. We also present a massive synthetic benchmark dataset to rigorously validate STACIE, comprising 15360 sets of time-correlated inputs generated with diverse covariance kernels with known autocorrelation integrals. STACIE is open source and available on GitHub and PyPI, with comprehensive documentation and examples.",Computational Physics
5,2506.20443,"['Ma, Yiming', 'Zhu, Ping', 'Rao, Bo', 'Li, Haolong']",MHD simulation of tilt instability during the dynamic FRC magnetic compression process,"The nonlinear evolution of the tilt instability in a field reversed configuration (FRC) during the dynamic magnetic compression process has been investigated using magnetohydrodynamic (MHD) simulations with the NIMROD code [C. R. Sovinec \textit{et al.}, J. Comput. Phys. \textbf{195}, 355 (2004)]. The tilt mode induces significant deformations in the linear growth phase and results in complete confinement loss of the FRC in the nonlinear phase, with no evidence of dynamic nonlinear stabilization. The growth rate of the tilt mode increases with the compression field ramping rate and approaches an asymptotic value. Toroidal flow can reduce both the growth rate and the nonlinear saturation amplitude of the tilt mode. The stabilizing effect of the toroidal rotation is enhanced with higher compression field ramping rates due to the spontaneous toroidal field generation and increased flow shear during compression. Although the tilt mode remains unstable with a toroidal rotation Mach number close to 0.5, the onset of tilt distortion can be delayed, allowing a magnetic compression ratio up to 5.3 before the compressional heating terminates.",Plasma Physics
6,2506.20513,"['Liu, Lei', 'Song, Chao', 'He, Liangsheng', 'Wang, Silin', 'Feng, Xuan', 'Liu, Cai']",Fast ground penetrating radar dual-parameter full waveform inversion method accelerated by hybrid compilation of CUDA kernel function and PyTorch,"This study proposes a high-performance dual-parameter full waveform inversion framework (FWI) for ground-penetrating radar (GPR), accelerated through the hybrid compilation of CUDA kernel functions and PyTorch. The method leverages the computational efficiency of GPU programming while preserving the flexibility and usability of Python-based deep learning frameworks. By integrating customized CUDA kernels into PyTorch's automatic differentiation mechanism, the framework enables accurate and efficient inversion of both dielectric permittivity and electrical conductivity. Experimental evaluations on synthetic data and real wavefield data demonstrate that the proposed method achieves dual-parameter FWI for GPR data while maintaining high accuracy. Moreover, the framework is flexible and extensible, supporting optional regularization strategies such as total variation and multi-scale inversion. These features make the proposed approach a practical and scalable framework for rapid GPR-based subsurface imaging in applications including civil engineering, environmental monitoring, and geophysical exploration.",Geophysics
7,2506.20521,"['Torres, Erik', 'Gross, Thomas', 'Candler, Graham V.', 'Schwartzentruber, Thomas E.']",Modified Marrone-Treanor model: parameterization and benchmarking for five-species air,"We present updated parameters for five-species air (N2, O2, NO, N and O) reactions to be used with the Modified Marrone-Treanor two-temperature model. The vibrational relaxation and chemical reaction rates are derived from quasiclassical trajectory calculations and direct molecular simulations using ab initio potential energy surfaces. The resulting model enables efficient computational fluid dynamics simulations of nonequilibrium air chemistry in hypersonic flows. We show that the model reproduces direct molecular simulation benchmark solutions with high accuracy in zero-dimensional heat baths representative of strong nonequilibrium post-shock conditions. The model's analytical expressions for dissociation rate coefficient and vibrational energy change per reaction ensure that the correct amount of energy is transferred between the vibrational and trans-rotational modes. Detailed balance is imposed for three-body recombination reactions and our simulations exhibit quasi-steady-state dissociation rates and proper approach to thermochemical equilibrium. In direct comparison with the Park TTv model, the Modified Marrone-Treanor model predicts significantly slower conversion of N2 into N below 10000 K and significantly more NO production at all temperatures. This is likely due to its significantly higher Zeldovich reaction rates compared to Park.",Chemical Physics
8,2506.20539,"['Padovan, Alberto', 'Anantharaman, Vishal', 'Rowley, Clarence W.', 'Vollmer, Blaine', 'Colonius, Tim', 'Bodony, Daniel J.']","Resolvent4py: a parallel Python package for analysis, model reduction and control of large-scale linear systems","In this paper, we present resolvent4py, a parallel Python package for the analysis, model reduction and control of large-scale linear systems with millions or billions of degrees of freedom. This package provides the user with a friendly Python-like experience (akin to that of well-established libraries such as numpy and scipy), while enabling MPI-based parallelism through mpi4py, petsc4py and slepc4py. In turn, this allows for the development of streamlined and efficient Python code that can be used to solve several problems in fluid mechanics, solid mechanics, graph theory, molecular dynamics and several other fields.",Computational Physics
9,2506.20545,"['Teklishyn, Maksym']",Detectors and Electronics for the CBM experiment at FAIR,"The Compressed Baryonic Matter (CBM) experiment is a next-generation heavy-ion experiment under development at the future FAIR facility in Darmstadt, Germany. It is designed to explore the QCD phase diagram at high net-baryon densities with unprecedented precision. Operating in fixed-target mode with a continuous beam of up to 11 AGeV for heavy ions and 26 GeV for protons, CBM will investigate rare probes such as multi-strange hyperons, hypernuclei, and dileptons, aiming to identify signatures of a first-order phase transition and the QCD critical point. To achieve these goals, CBM employs a free-streaming, self-triggered readout architecture and a suite of radiation-hard, low-mass detectors capable of operating at interaction rates up to 10 MHz. The experimental set-up consists of several detector subsystems optimised for precise vertexing, tracking, particle identification, and event reconstruction. These subsystems have undergone extensive prototyping and validation campaigns, with many components already tested and integrated into existing experiments such as STAR/RHIC, HADES/SIS18, and E16/J-PARC. These efforts culminated in the realisation of the mCBM test set-up at the SIS18 accelerator, where key systems were successfully commissioned under realistic beam conditions. This contribution provides a concise overview of the current status of detector development, series production, and validation efforts through both simulations and measurements.",Instrumentation and Detectors
10,2506.20554,"['Mole, Andrew', 'Weissenbacher, Max', 'Rigas, Georgios', 'Laizet, Sylvain']",Reinforcement Learning Increases Wind Farm Power Production by Enabling Closed-Loop Collaborative Control,"Traditional wind farm control operates each turbine independently to maximize individual power output. However, coordinated wake steering across the entire farm can substantially increase the combined wind farm energy production. Although dynamic closed-loop control has proven effective in flow control applications, wind farm optimization has relied primarily on static, low-fidelity simulators that ignore critical turbulent flow dynamics. In this work, we present the first reinforcement learning (RL) controller integrated directly with high-fidelity large-eddy simulation (LES), enabling real-time response to atmospheric turbulence through collaborative, dynamic control strategies. Our RL controller achieves a 4.30% increase in wind farm power output compared to baseline operation, nearly doubling the 2.19% gain from static optimal yaw control obtained through Bayesian optimization. These results establish dynamic flow-responsive control as a transformative approach to wind farm optimization, with direct implications for accelerating renewable energy deployment to net-zero targets.",Fluid Dynamics
11,2506.20572,"['Almeida, Rodrigo', 'Valente, Ana Filipa', 'Dilão, Rui']",A biophysical approach to the design of networks of communication systems,"Inspired by the growth dynamics of the protist \textit{Physarum polycephalum}, we employ a formalism that describes adaptive, incompressible Hagen-Poiseuille flows on channel networks to identify graphs connecting different nodes within Euclidean space. These graphs are either suboptimal or optimal with respect to their length. Occasionally, we derive graph tree configurations that are topologically equivalent to Steiner trees. This methodology can be utilised to assist in making decisions regarding the design of communication networks, such as fibre webs, motorways, or railway networks. As a demonstration of the practicality of this approach, we explicitly apply this framework to the Portuguese railway network.",Physics and Society
12,2506.20578,"['Hnatič, Michal', 'Lučivjanský, Tomáš', 'Mižišin, Lukáš', 'Molotkov, Yurii', 'Ovsiannikov, Andrei']",Two-Loop Turbulent Helical Magnetohydrodynamics: Large-Scale Dynamo and Energy Spectrum,"We present a two-loop field-theoretic analysis of incompressible helical magnetohydrodynamics (MHD) in fully developed stationary turbulence. A key feature of helical MHD is the appearance of an infrared-unstable ``mass-like'' term in the loop diagrams of the magnetic response function. Physically, this term corresponds to the relevant perturbation of the Joule damping, proportional to $\boldsymbol{\nabla} \times \boldsymbol{b}$ ($\boldsymbol{b} =$ magnetic field). Its presence destabilizes the trivial ground state $\langle \boldsymbol{b} \rangle = 0$ and forces us to look for a mechanism for stabilizing the system. We show that such stabilization can be achieved in two ways: (i) by introducing into induction equation an external mass-like parameter that precisely cancels these dangerous loop corrections (kinematic regime), or (ii) via spontaneous breaking of the rotational symmetry, leading to a new ground state with nonzero large-scale magnetic field (turbulent dynamo regime). For the latter case, we study the two-loop correction to the spontaneously generated magnetic field and demonstrate that Goldstone-like corrections to Alfv\'en modes along with some other anisotropic structures arise. Our results also confirm that the emergent mean magnetic field leads to a steeper slope of the magnetic energy spectrum, $-11/3 + 2\gamma_{b\star}$ (with $\gamma_{b\star} = -0.1039 - 0.4202\rho^2$, for $|\rho| \leqslant 1$ as the degree of helicity), compared to the Kolmogorov velocity spectrum of $-11/3$, thereby breaking equipartition.",Plasma Physics
13,2506.20603,"['Quetti, Federico Maria', 'Civilini, Andrea', 'Frigerio, Giacomo', 'Figini, Silvia', 'Livan, Giacomo', 'Latora, Vito']",Endogenous Feedback in Coevolutionary Games Reshapes the Stability of Cooperation,"In Evolutionary game theory the payoffs are typically fixed or shaped by external environmental variables. Here, we introduce an endogenous-feedback model in which the game played coevolves directly with the population state: the payoff matrix is a time-dependent function of the level of cooperation. This allows strategic incentives to be continuously modified by the collective behavior they generate. Even in the simplest case of linear and instantaneous feedback, the model reveals feedback-induced regimes, termed chimera games, in which stable cooperation arises despite being incompatible with the predictions of standard fixed-game dynamics. We further show that delayed feedback can destabilize these equilibria and generate sustained oscillations, while nonlinear feedback reshapes equilibrium structure and introduces path dependence. Our results show how cooperation can be promoted, suppressed, or destabilized by incentives generated endogenously by the very same population's collective behavior. We conclude by outlining how our framework connects to real-world systems shaped by endogenous feedback.",Physics and Society
14,2506.20604,"['Mitnik, D. M.', 'Montanari, C. C.', 'Segui, S.', 'Limandri, S. P.', 'Guzmán, J. A.', 'Carreras, A. C.', 'Trincavelli, J. C.']",IKEBANA: A Neural-Network approach for the K-shell ionization by electron impact,"A fully connected neural network was trained to model the K-shell ionization cross sections based on two input features: the atomic number and the incoming electron overvoltage. The training utilized a recent, updated compilation of experimental data, covering elements from H to U, and incident electron energies ranging from the threshold to relativistic values. The neural network demonstrated excellent predictive performance, compared with the experimental data, when available, and with full theoretical predictions. The developed model is provided in the ikebana code, which is openly available and requires only the user-selected atomic number and electron energy range as inputs.",Atomic Physics
15,2506.20647,"['Hogan, Ryan', 'Mamchur, Yaryna', 'Cordova-Castro, R. Margoth', 'Carlow, Graham', 'Sullivan, Brian T.', 'Reshef, Orad', 'Boyd, Robert W.', 'Lundeen, Jeff S.']",Experimental demonstration of high compression of space by optical spaceplates,"The physical size of optical imaging systems is one of the greatest constraints on their use, limiting the performance and deployment of a range of systems from telescopes to mobile phone cameras. Spaceplates are nonlocal optical devices that compress free-space propagation into a shorter distance, paving the way for more compact optical systems, potentially even thin flat cameras. Here, we demonstrate the first engineered optical spaceplate and experimentally observe the highest space compression ratios yet demonstrated in any wavelength region, up to $\mathcal{R}=176\pm14$, which is 29 times higher than any previous device. Our spaceplate is a multilayer stack, a well-established commercial fabrication technology that supports mass production. The versatility of these stacks allows for the freedom to customize the spaceplate's bandwidth and angular range, impossible with previous optical experimental spaceplates, which were made of bulk materials. With the appropriate choice of these two parameters, multilayer spaceplates have near-term applications in light detection and ranging (LIDAR) technologies, retinal scanners, endoscopes, and other size-constrained optical devices.",Optics
16,2506.20663,"['Wallace, Timothy', 'Creus-Prats, Joaquim', 'Hurd, Joseph', 'White, Michael J', 'Makara, Jerry', 'Pei, Liujin', 'Hansen, Benjamin', 'Theilacker, Jay', 'Bossert, Rick', 'Martinez, Alexander', 'Santucci, James K', 'Romanov, Sasha']",Operational Experience of the NML Cryogenic Plant at the FAST Test Facility,"The NML cryogenic plant cools two individually cryostated superconducting radio frequency (SRF) capture cavities and one prototype ILC cryomodule with eight SRF cavities. This complex accelerates electrons at 150 MeV for the Integrable Optics Test Accelerator (IOTA) ring, located at the Fermilab Accelerator Science and Technology (FAST) facility. The cryogenic plant is composed of two nitrogen precooled Tevatron satellite refrigerators, two Mycom 2016C compressors, a cryogenic distribution system, a Frick purifier compressor, two charcoal bed adsorber purifiers, and a liquid ring vacuum pump with a roots booster. The SRF cavities are immersed in a 2.0 K liquid helium bath, shielded with a 5 K gaseous helium shield and a liquid nitrogen cooled thermal shield. Since 2019, this R&D accelerator complex has gone through four science runs with an average duration of 12 months. Operational experience for each run, availability metrics, performance data and common outages are presented in this paper.",Accelerator Physics
