,paper,authors,title,abstract,cathegory
0,2510.08063,"['Buendía, Álvaro', 'Pura, José Luis', 'Giannini, Vincenzo', 'Gil, José Antonio Sánchez']","Far-field radiation of bulk, edge and corner eigenmodes from a finite 2D Su-Schrieffer-Heeger plasmonic lattice","Subwavelength arrays of plasmonic nanoparticles allow us to control the behaviour of light at the nanoscale. Here, we develop an eigenmode analysis, employing a coupled electromagnetic dipole formalism, which permits us to isolate the contribution to the far-field radiation of each array mode. Specifically, we calculate the far-field radiation patterns by bulk, edge and corner out-of-plane eigenmodes in a finite 2D Su-Schrieffer-Heeger (SSH) array of plasmonic nanoparticles with out-of-plane dipolar resonances. The breaking of symmetries in multipartite unit cells is exploited to tailor the optical properties and far-field radiation of the resonant modes. We prove that the antisymmetric modes are darker and have higher Q-factors than their symmetric counterparts. Also, the out-of-plane nature of the dipolar resonances imposes that all bulk $\Gamma$-modes are dark, while corner and edge states need extra in-plane symmetries to cancel the far-field radiation; radiation patterns in turn become more complex and concentrated along the array plane with increasing array size.",Mesoscale and Nanoscale Physics
1,2510.08130,"['Imran, Muhammad', 'Azam, Sikander', 'Rafiq, Qaiser', 'Rahman, Amin Ur']","Rare-Earth Engineering of NaAlO3 Perovskites Unlocks Unified Optoelectronic, Thermoelectric, and Spintronic Functionalities","Perovskite oxides are promising for energy and quantum technologies, but wide-gap hosts such as NaAlO3 suffer from deep-UV absorption and limited carrier transport. Using first-principles GGA+U+SOC calculations, we investigate Eu3+-, Gd3+-, and Tb3+-doped NaAlO3 and evaluate their electronic, optical, elastic, and thermoelectric properties. Rare-earth substitution is thermodynamically favorable (formation energies 1.2-1.6 eV) and induces strong f-p hybridization, reducing the pristine band gap (about 6.2 eV) to about 3.1 eV for Tb. Spin-resolved band structures reveal Gd-driven half-metallicity, Eu-induced spin-selective metallicity, and Tb-stabilized p-type semiconducting behavior. The optical spectra show a red-shifted absorption edge (about 2.0-2.2 eV), a large static dielectric response (epsilon1(0) about 95 for Eu), and plasmonic resonances near 4 eV, enabling visible-light harvesting. Elastic analysis indicates mild lattice softening with preserved ductility (Pugh ratio B/G about 1.56-1.57). Thermoelectric performance is enhanced, with Seebeck coefficients greater than 210 uV/K for Eu and Tb and ZT about 0.45 at 500 K. These results identify rare-earth-doped NaAlO3 as a multifunctional perovskite platform for photovoltaics, photocatalysis, thermoelectrics, and spintronics.",Materials Science
2,2510.08220,"['Huang, Hsin-Wen', 'Fang, Xi-Jun', 'Chen, Edward', 'Wu, Yuh-Renn']",Dominant scattering mechanisms in the low/high electric field transport in cryogenic 2D confinement in Silicon (110) with high-$\kappa$ oxides,"The performance of silicon nano-devices at cryogenic temperatures is critical for quantum qubit control circuits and space applications. Using multi-valley Monte Carlo simulations, we investigate electron transport in Si~(110) systems. At low electric fields, phonon absorption becomes negligible, and mobility is governed by competition between remote Coulomb scattering~(RCS) at low inversion charge density and surface roughness scattering~(SRS) at high density, leading to a mobility peak. High-$\kappa$ dielectrics such as $\mathrm{HfO_2}$ introduce remote phonon scattering~(RPS), which suppresses mobility. Under high electric fields, phonon emission dominates at 4~K, limiting velocity enhancement and resulting in limited current improvement",Mesoscale and Nanoscale Physics
3,2510.08277,"['Wang, Wen', 'Li, Han-Ze', 'Zhong, Jian-Xin']",Non-Hermitian many-body localization in asymmetric chains with long-range interaction,"Understanding the relationship between many-body localization and spectra in non-Hermitian many-body systems is crucial. In a one-dimensional clean, long-range interaction-induced non-Hermitian many-body localization system, we have discovered the coexistence of static and dynamic spectral real-complex phase transitions, along with many-body ergodic-localized phase transitions. The phase diagrams of these two types of transitions show similar non-monotonic boundary trends but do not overlap, highlighting properties distinct from conventional disorder-induced non-Hermitian many-body localization. We also propose a potential experimental realization of this model in cold-atom systems. Our findings provide valuable insights for further understanding the relationship between non-Hermitian many-body localization and non-Hermitian spectra in long-range interacting systems.",Disordered Systems and Neural Networks
4,2510.08323,"['Steinbock, Chanania', 'Beller, Daniel A.']",Dynamics of individual active elastic filaments with chiral self-propulsion,"We study the over-damped dynamics of individual one-dimensional elastic filaments subjected to a chiral active force which propels each point of the filament at a fixed angle relative to the tangent vector of the filament at that point. Such a model is a reasonable starting point for describing the behavior of polymers such as microtubules in gliding assay experiments. We derive sixth-order nonlinear coupled partial differential equations for the intrinsic properties of the filament, namely, its curvature and metric, and show that these equations are capable of supporting multiple different stationary solutions in a co-moving frame, i.e.\ that chiral active elastic filaments exhibit dynamic multi-stability in their shapes. A linear stability analysis of these solutions is carried out to determine which solutions are stable and a brief analysis of the time-dependent approach to stationary shape is considered. Finally, simulations are presented which confirm many of our predictions while also revealing additional complexity.",Soft Condensed Matter
5,2510.08334,"['Li, Weixin', 'Yuan, Rundong', 'Zhong, Fenglin', 'Peng, Bo', 'Ansermet, Jean-Philippe', 'Yu, Haiming']",Topological surface magnon-polariton in an insulating canted antiferromagnet,"Excitation and control of antiferromagnetic magnon modes lie at the heart of coherent antiferromagnetic spintronics. Here, we propose a topological surface magnon-polariton as a new approach in the prototypical magnonic material hematite. We show that in an insulating canted antiferromagnet, where strong-coupled magnon-photon modes can be achieved using electrical on-chip layouts, a surface magnon-polariton mode exists in the gap of the bulk magnon-photon bands. The emergence of surface magnon-polariton mode is further attributed to the nontrivial topology of bulk magnon-photon bands. Magnon-photon coupling enhances the Berry curvature near the anticrossing points, leading to a topological bulk Chern band associated with the surface magnon-polaritons. Our work provides a general principle for the utilization of optomagnetic properties in antiferromagnets, with an illustration of its experimental feasibility and wide generality as manifested in hematite.",Mesoscale and Nanoscale Physics
6,2510.08349,"['Wang, Yi-Xin', 'Zhang, Yan', 'Du, Lei', 'Guo, Lingzhen', 'Wu, Jin-Hui']",Selective high-order topological states and tunable chiral emission in atomic metasurfaces,"Atomic metasurfaces (AMs) provide a powerful nanophotonic platform for integrating topological effects into quantum many-body systems. In this Letter, we investigate the quantum optical and topological properties of a two-dimensional Kagome AM, going beyond the tight-binding approximation and incorporating all-to-all interactions. We reveal selective higher-order topological states with a unique dynamical ``chasing"" behavior, protected by a generalized chiral symmetry and enabling efficient topological directional transfer. By introducing an impurity atom -- a giant atom -- coupled to all array atoms, we observe chiral emission patterns strongly dependent on the atomic polarization. This nonlocal coupling structure allows exploration of self-interference effects at subwavelength scales. Our findings establish AMs as a versatile platform for engineering tunable topological states and chiral quantum optical phenomena, with potential applications in customized light sources and photonic devices.",Quantum Physics
7,2510.08371,"['Wind, Cedric', 'Nill, Chris', 'Gamper, Julia', 'Germer, Samuel', 'Mauth, Valerie', 'Alt, Wolfgang', 'Lesanovsky, Igor', 'Hofferberth, Sebastian']",Entanglement of mechanical oscillators mediated by a Rydberg tweezer chain,"Mechanical systems provide a unique test bed for studying quantum phenomena at macroscopic length scales. However, realizing quantum states that feature quantum correlations among macroscopic mechanical objects remains an experimental challenge. Here, we propose a quantum system in which two micro-electromechanical oscillators interact through a chain of Rydberg atoms confined in optical tweezers. We demonstrate that the coherent dynamics of the system generate entanglement between the oscillators. Furthermore, we utilize the tunability of the radiative decay of the Rydberg atoms for dissipative entanglement generation. Our results highlight the potential to exploit the flexibility and tunability of Rydberg atom chains to generate nonclassical correlations between distant mechanical oscillators.",Quantum Physics
8,2510.08401,"['Ilicheva, Ekaterina A.', 'Chuyko, Irina A.', 'Luchnikov, Lev O.', 'Sukhorukova, Polina K.', 'Saratovsky, Nikita S.', 'Vasilev, Anton A.', 'Alexanyan, Luiza', 'Zarudnyaya, Anna A.', 'Dorofeev, Dmitri Yu.', 'Kozlov, Sergey S.', 'Morozov, Andrey P.', 'Muratov, Dmitry S.', 'Luponosov, Yuriy N.', 'Saranin, Danila S.']",Enhanced thermal stability of inverted perovskite solar cells by bulky passivation with pyridine-functionalized triphenylamine,"Despite competitive efficiency compared to Si solar cells and relevant stability at near room temperatures the rapid degradation at elevated temperatures remains the critical obstacle for exploitation of perovskite photovoltaics. In this work, a 4-(pyridin-4-yl)triphenylamine (TPA-Py) with pyridine anchor group was employed for inter-grain bulk modification of double-cation CsCH(NH2)2PbI3 perovskite absorbers to enhance thermal stability. Through coordination and dipole-dipole interactions, nitrogen-containing fragments (diphenylamine and pyridine) of TPA-Py passivate uncoordinated cations and improve the phase resilience of perovskite films against segregation. This resulted in a power conversion efficiency of 21.3% with a high open-circuit voltage of 1.14 V. Notable impact of self-assembled monolayer incorporated into the bulk of perovskite film manifested in huge improvement of thermal stability at 85{\deg}C (ISOS-D-2). TPA-Py modification improved extended the T80 lifetime to ~600 h compared to only 200 h for the reference under harsh heating stress in ambient conditions. In-depth analysis using photoinduced voltage transients and admittance spectroscopy after different stress periods revealed the screening of ion migration (0.45 eV) for devices with TPA-Py. This work offers an important understanding of the bulk modification of microcrystalline perovskite absorbers and guide for robust design of bulk and buried interfaces in highly efficient perovskite solar cells.",Materials Science
9,2510.08430,"['Shokry, Ahmedeo', 'Santini, Alessandro', 'Vicentini, Filippo']",When Less is More: Approximating the Quantum Geometric Tensor with Block Structures,"The natural gradient is central in neural quantum states optimizations but it is limited by the cost of computing and inverting the quantum geometric tensor, the quantum analogue of the Fisher information matrix. We introduce a block-diagonal quantum geometric tensor that partitions the metric by network layers, analogous to block-structured Fisher methods such as K-FAC. This layer-wise approximation preserves essential curvature while removing noisy cross-layer correlations, improving conditioning and scalability. Experiments on Heisenberg and frustrated $J_1$-$J_2$ models show faster convergence, lower energy, and improved stability.",Quantum Physics
