Cathegory,Max_connected_cathegory,Connections
Accelerator Physics,Accelerator Physics,2323
Applied Physics,Optics,7086
Atmospheric and Oceanic Physics,Atmospheric and Oceanic Physics,3839
Atomic and Molecular Clusters,Atomic Physics,361
Atomic Physics,Atomic Physics,14396
Biological Physics,Biological Physics,2846
Chemical Physics,Chemical Physics,10146
Classical Physics,Fluid Dynamics,1305
Computational Physics,Computational Physics,6234
"Data Analysis, Statistics and Probability",Physics and Society,647
Fluid Dynamics,Fluid Dynamics,43665
General Physics,General Physics,521
Geophysics,Geophysics,2297
History and Philosophy of Physics,History and Philosophy of Physics,341
Instrumentation and Detectors,Instrumentation and Detectors,12158
Medical Physics,Medical Physics,2828
Optics,Optics,47185
Physics and Society,Physics and Society,7170
Physics Education,Physics Education,1602
Plasma Physics,Plasma Physics,17398
Popular Physics,Optics,38
Space Physics,Space Physics,2706
